group_index,group_type,alice_label,bob_label,batch_size,n_qubits,status,latency_s,session_id,n_delivered,n_sifted,qber,key_final,error_message,progress_pct,phase_label,loss_rate,interceptor_label,retry_enabled,qkdl_url,intercepted,run_type,group_wall_time_s,timestamp
25,same_index,alice-2,bob-2,20,1024,done,153.98,e1b2b8eb-2e39-4039-945c-c5547f53c7cd,1024,528,0.0,000010110011010000101101001001001111000100011001100001010000000011000000100011001010100101011010010010000001111110000000110101100110100011110001100011010100000111001000111111101011100101100011111010110110111110010000011010010110110001011101011110101001010011100011110100100011100110100111110000001111011100100010010100011001010111011110100111100111000000100100001001000110001101000111100101100011001111100001110011101011000,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,282.061,2026-05-22T20:12:41.882639
25,same_index,alice-3,bob-3,20,1024,done,280.552,62ec7f36-a81b-419b-b828-f4d7b3537325,1024,482,0.0,11100110010001000110001001110100011101111101101110001111100000110100010011000100001011100110100101001000011111100001111010101011110011101000010111000011110000011110011111100010000010010101001000011001110110111001010011000110111001110100101011010010101110110011001111000000010010011101110000100100110001110110100001001001110000101101100110100100101101011011101100100010001101001011001011,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,282.061,2026-05-22T20:12:41.882663
26,cross_1,alice-2,bob-3,20,1024,done,129.749,88a41866-1ac1-4275-b736-2461b4a3081f,1024,519,0.0,10111100011000101111110001011111010100010001001001110000001100010101100111100001000100111000000011001000111010110010110001010110100001010101110101100000010101101111001000111011011011001010111000000011000100001100011010001101101100001010011010110111101110101011000111101101110000101010101001100110000101001111001000010110110101101100011010001101101101111010001110111000010001100100100101111001000111001100111101001111,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,265.684,2026-05-22T20:17:11.568969
26,cross_1,alice-3,bob-1,20,1024,done,133.361,e23cd993-b580-412b-b5e7-0e032c3864e4,1024,514,0.0,0111100000110001101011010000111110010011000111100001000001001000000101100100100001111010101010101110001111101001000110001101001101010011110110001001010010101100010111101100000001111100111101010110011001110011001011000110100001011001010101000011010011010000101010001010111000010110011010111110000001100011111011001111000001111000101110101011001000010101101010010000010101000101001100011100111010010001101101000100,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,265.684,2026-05-22T20:17:11.569028
26,cross_1,alice-1,bob-2,20,1024,done,264.334,faa373fa-76d3-4520-9e0d-c67bdb169fe8,1024,488,0.0,1001011000101001100011000101111000000011110000000010010100101101001111111101100100111001000000011100110110100011101001000011111100011000011111101001001010010110001010110000001111101001100010000101101101111111011000110101011101101011110100010101000101010001001000010101010001110100001100011011110011001111111100111010000110000011100101110101000101001000000000111000110000011101010110111111010,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,265.684,2026-05-22T20:17:11.569046
27,cross_2,alice-1,bob-3,20,1024,done,129.802,f616b7c5-09d6-4d7a-bc2f-5a28863162c4,1024,484,0.0,1100001000110100100110101111010000011011100110101100011111001101001101001010010111101100000101101101111000110001111000110111101111101010010010000101111110010011000101111101101000001000101000111101011111110000100000101011110111110001000000110011010000111110101110000110011100100010000001100010111110000010001000001011100011001011010110110111110001111000110001101010010100011111111011110110,,100.0,Key generated,0.0,,False,http://localhost:8023,False,concurrent,296.499,2026-05-22T20:22:12.070173
27,cross_2,alice-2,bob-1,20,1024,done,166.061,0282c8b2-a3ab-471e-ac7d-ebd3f82bdcfa,1024,507,0.0,0001010100111000001010100000011011001010001101011000100010001110100011100001010101111100010001000011101001010011000100010000001011001010110111111001000111000010010010011000100001110100111010010011000101001100100001001010100000100011001001010110000001010010000100101101100100110101010101011101110000110110111111011001101010010111100100111000001110101111111101010101011011010010000010111100111100011100100101,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,296.499,2026-05-22T20:22:12.070227
27,cross_2,alice-3,bob-2,20,1024,done,294.963,a0af1881-2b66-4a54-947c-c5b4ba4e76c0,1024,513,0.0,111011110010000000000001110011000001011101000110110011011110111110011011010101100110010101100111110111101000111010101011110011000001110111100011110110110101101110100011001010010101111110111110000010101011100101000110010111101100101001001110100010110011011010110001000000000101000111100111010001100110010010101111001000001111100110001100110011111101100011101000010110101101010000001101101001100001111011111011000,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,296.499,2026-05-22T20:22:12.070276
28,same_index,alice-3,bob-3,10,2048,done,265.266,93277a26-5045-44b0-8a4e-e427e7ed352c,2048,989,0.0,111011000010001100001000111100111110101111100111111001110001111110110110111010100000100111101101100101100000100001110111110010000110000001011010000000000111011000110100110000010001100100110111101011111000111001111000000110011010000001110001001001101011000001010100111001011010111100100111000111111100101011100110110001011100110100101000101001000011001011101110001100100101110111110110011000100000000100011000000001000111001000001111101001011101100010100110000000111110010001011111010110011010010010110110110111100001010011100011000001000011101110101011100001000101000110010100010110100111010111110101000001001010111101011101100010000110101101001000100001000001001000101111001001101101000111101111111001000110110000010101001000011110010010101101100101100010100010011011000000000101001111001110,,100.0,Key generated,0.0,,False,http://localhost:8013,False,concurrent,700.761,2026-05-22T20:33:56.833315
28,same_index,alice-1,bob-1,10,2048,done,434.757,4a9d6123-e102-4427-9759-a0343d357a59,2048,1020,0.0,011111100001001011000110010110011011101100111111010100100001000001110110011110000101100100010000001100101101010101110101011101100001101001000110110111100111001110000111110011101010010001001011000011110010011000000010001001100100000000010100000011001100110001110101110101110011101010000000001010100100101011011100100100011011011000110110001011101100010001110000011011110100011110001110110100100110101000111100010011110101001010101100001001100101100001010000000101100010001111001101001000001010111010111100000111100011111110001100011000011101001001111101001011100010000010111111100011101110101000101011001101101010011101001111111001101011011101110101111100110101111001101001001011110000110110101010110011001110001100011001011111110110011110001001010100001011100000010100011111000101001001001100101111101000101110010110,,100.0,Key generated,0.0,,False,http://localhost:8003,False,concurrent,700.761,2026-05-22T20:33:56.833389
